City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,pio ix,-6.8375,-40.5792,23.95,75,79,2.83,BR,1667868696
84,balaipungut,1.05,101.2833,25.51,89,90,0.66,ID,1667868696
85,balkhash,46.844,74.9804,5.37,85,100,8.98,KZ,1667868697
86,bredasdorp,-34.5322,20.0403,13.65,92,88,2.6,ZA,1667868583
87,margate,51.3813,1.3862,15.5,79,100,4.47,GB,1667868698
88,carnarvon,-24.8667,113.6333,20.8,58,0,6.23,AU,1667868593
89,mahon,39.8885,4.2658,18.31,72,75,2.57,ES,1667868698
90,falun,60.6036,15.626,7.23,97,100,1.36,SE,1667868699
91,port alfred,-33.5906,26.891,17.88,89,100,2.68,ZA,1667868568
92,urumqi,43.801,87.6005,0.53,80,2,1.0,CN,1667868644
93,fortuna,40.5982,-124.1573,9.25,94,75,6.17,US,1667868646
94,saint-francois,46.4154,3.9054,4.82,93,0,1.03,FR,1667868700
95,sembe,1.6481,14.5806,21.35,98,100,0.46,CG,1667868700
96,saint-pierre,-21.3393,55.4781,21.82,64,0,2.57,RE,1667868613
97,sorong,-0.8833,131.25,27.77,80,100,2.57,ID,1667868701
98,axim,4.8699,-2.2405,25.59,86,100,1.82,GH,1667868702
99,emba,48.8264,58.1442,-4.56,93,25,2.26,KZ,1667868702
100,luwuk,-0.9516,122.7875,28.32,75,99,1.21,ID,1667868703
101,inverbervie,56.8446,-2.28,12.47,87,100,12.29,GB,1667868703
102,da nang,16.0678,108.2208,23.99,78,40,1.03,VN,1667868689
103,ilulissat,69.2167,-51.1,-21.96,88,15,2.91,GL,1667868617
104,khatanga,71.9667,102.5,-14.24,96,100,2.17,RU,1667868585
105,bonfim,3.0833,-59.95,25.37,86,98,1.48,BR,1667868704
106,puerto baquerizo moreno,-0.9,-89.6,18.82,77,100,4.61,EC,1667868705
107,chernyshevskiy,63.0128,112.4714,-9.99,96,100,1.02,RU,1667868705
108,port hardy,50.6996,-127.4199,2.1,51,20,9.26,CA,1667868336
109,kruisfontein,-34.0033,24.7314,13.67,84,93,2.39,ZA,1667868706
110,araioses,-2.89,-41.9031,25.89,83,91,4.56,BR,1667868706
111,havre,49.5833,0.3333,13.87,77,0,6.69,FR,1667868504
112,sao joao da barra,-21.6403,-41.0511,22.05,74,100,1.98,BR,1667868707
113,kieta,-6.2167,155.6333,29.43,73,28,3.9,PG,1667868591
114,lompoc,34.6391,-120.4579,15.08,79,40,4.12,US,1667868571
115,rikitea,-23.1203,-134.9692,23.14,92,100,8.47,PF,1667868480
116,guerrero negro,27.9769,-114.0611,19.1,73,66,5.88,MX,1667868375
117,airai,-8.9266,125.4092,22.86,59,90,0.48,TL,1667868633
118,ambilobe,-13.2,49.05,21.68,76,100,2.25,MG,1667868708
119,dunedin,-45.8742,170.5036,15.17,71,83,4.84,NZ,1667868708
120,pietarsaari,63.65,22.6833,3.27,87,100,5.42,FI,1667868709
121,bethel,41.3712,-73.414,20.2,18,0,3.6,US,1667868346
122,melbu,68.5044,14.8297,-0.1,100,75,1.54,NO,1667868709
123,hamilton,39.1834,-84.5333,14.47,35,0,3.6,US,1667868631
124,korla,41.7597,86.1469,6.88,42,7,1.61,CN,1667868609
125,xingtai,37.0631,114.4942,11.59,32,0,1.61,CN,1667868710
126,hilo,19.7297,-155.09,27.85,73,40,4.12,US,1667868547
127,iqaluit,63.7506,-68.5145,-7.15,57,75,6.71,CA,1667868711
128,qiongshan,20.0058,110.3542,22.99,88,75,5.0,CN,1667868712
129,black river,18.0264,-77.8487,25.84,73,37,1.28,JM,1667868642
130,kemijarvi,66.7131,27.4306,-5.06,98,35,0.75,FI,1667868713
131,viedma,-40.8135,-62.9967,20.54,44,75,6.47,AR,1667868587
132,majene,-3.5403,118.9707,28.23,73,90,2.06,ID,1667868713
133,uglich,57.5275,38.3317,2.37,96,100,4.04,RU,1667868714
134,telimele,10.9167,-13.3333,22.64,79,96,0.95,GN,1667868714
135,upernavik,72.7868,-56.1549,-13.16,88,94,3.18,GL,1667868715
136,pangnirtung,66.1451,-65.7125,-14.76,61,55,2.75,CA,1667868642
137,hay river,60.8156,-115.7999,-16.01,72,40,2.06,CA,1667868715
138,kiunga,-6.1219,141.2906,24.39,96,100,1.29,PG,1667868716
139,port elizabeth,-33.918,25.5701,16.84,90,0,7.2,ZA,1667868631
140,grindavik,63.8424,-22.4338,5.97,87,75,7.72,IS,1667868716
141,itacare,-14.2775,-38.9967,23.13,75,100,4.4,BR,1667868717
142,yulara,-25.2406,130.9889,33.52,21,89,7.5,AU,1667868717
143,agogo,6.8,-1.0819,21.23,88,100,1.15,GH,1667868718
144,prince albert,53.2001,-105.7677,-12.03,85,100,8.23,CA,1667868718
145,kachug,53.9606,105.8817,-4.4,86,96,2.0,RU,1667868718
146,south venice,27.0531,-82.4243,25.56,66,3,0.45,US,1667868719
147,clyde river,70.4692,-68.5914,-10.87,67,75,3.09,CA,1667868630
148,bonthe,7.5264,-12.505,25.86,84,99,1.68,SL,1667868630
149,dicabisagan,17.0818,122.4157,26.67,85,93,2.16,PH,1667868720
150,moron,-34.6534,-58.6198,20.52,74,0,3.79,AR,1667868720
151,tazovskiy,67.4667,78.7,-8.28,96,100,3.53,RU,1667868720
152,ferkessedougou,9.6,-5.2,22.7,33,79,2.11,CI,1667868721
153,castro,-24.7911,-50.0119,10.07,95,0,2.18,BR,1667868343
